"cog","subject","sex","r","c","part"
5955.793780943517,"s007",f,5,1,"informal"
5342.250328593528,"s007",f,5,1,"informal"
3171.0424717088026,"s007",f,5,1,"informal"
4961.4320986506145,"s007",f,5,1,"informal"
2727.5814514910776,"s007",f,5,1,"informal"
7200.153649534801,"s007",f,5,1,"informal"
6451.504759437085,"s007",f,5,1,"informal"
6108.806276358864,"s007",f,5,1,"informal"
6477.306477696678,"s007",f,5,1,"informal"
6304.279809012403,"s007",f,5,1,"informal"
6196.858556448321,"s007",f,5,1,"informal"
2543.0319467133354,"s007",f,5,1,"informal"
4462.908488395369,"s007",f,5,1,"l1"
4247.42389824979,"s007",f,5,1,"l1"
3099.127236654241,"s007",f,5,1,"l1"
2621.3908749957213,"s007",f,5,1,"l1"
3328.643588118175,"s007",f,5,1,"l1"
2895.2958034246712,"s007",f,5,1,"l1"
3534.4954725311745,"s007",f,5,1,"l1"
4248.238747782385,"s007",f,5,1,"l1"
5436.010955861317,"s007",f,5,1,"l1"
2664.249727088545,"s007",f,5,1,"l1"
4194.585952235615,"s007",f,5,1,"l1"
4371.369459263341,"s007",f,5,1,"l1"
5672.110638626996,"s007",f,5,1,"l1"
4561.513478760554,"s007",f,5,1,"l1"
2483.4900933315416,"s007",f,5,1,"l1"
6872.592711714022,"s007",f,5,1,"l1"
4647.177994817413,"s007",f,5,1,"l1"
3639.484899857935,"s007",f,5,1,"l1"
4564.427291413298,"s007",f,5,1,"l1"
3318.9149634513938,"s007",f,5,1,"l1"
4091.0962486250924,"s007",f,5,1,"l1"
4579.000184413762,"s007",f,5,1,"l1"
2106.5521208294126,"s007",f,5,1,"l1"
1832.5760652528795,"s007",f,5,1,"l1"
4698.666052387014,"s007",f,5,1,"l1"
4230.498489189495,"s007",f,5,1,"l1"
1984.8452396781277,"s007",f,5,1,"l1"
4790.862119145893,"s007",f,5,1,"l1"
1913.0398110917322,"s007",f,5,1,"l1"
4334.636016434801,"s007",f,5,1,"l1"
2957.8079659740392,"s007",f,5,1,"l1"
2866.6885411538965,"s007",f,5,1,"l1"
2550.0002479992577,"s007",f,5,1,"l1"
4659.7490211490485,"s007",f,5,1,"l1"
4139.260713331464,"s007",f,5,1,"l1"
4271.235502979542,"s007",f,5,1,"l1"
3793.899950936571,"s007",f,5,1,"l1"
4944.205919468852,"s007",f,5,1,"udhr-en"
4721.681389009176,"s007",f,5,1,"udhr-en"
5024.628526978401,"s007",f,5,1,"udhr-en"
6427.713973141523,"s007",f,5,1,"udhr-en"
5384.591247354892,"s007",f,5,1,"udhr-en"
4956.209448731909,"s007",f,5,1,"udhr-en"
2739.2415471898726,"s007",f,5,1,"udhr-en"
4842.1000361015385,"s007",f,5,1,"udhr-en"
4350.508103268065,"s007",f,5,1,"udhr-en"
3232.246617686546,"s007",f,5,1,"udhr-en"
3758.8087054301195,"s007",f,5,1,"udhr-en"
5058.694273156657,"s007",f,5,1,"udhr-en"
3975.6865674737087,"s007",f,5,1,"udhr-en"
4654.415149648237,"s007",f,5,1,"udhr-en"
2896.605196212732,"s007",f,5,1,"udhr-en"
6023.217401792426,"s007",f,5,1,"udhr-en"
4849.369154310313,"s007",f,5,1,"udhr-en"
5710.695300727571,"s007",f,5,1,"udhr-en"
5002.793615702763,"s007",f,5,1,"udhr-en"
5714.809768119421,"s007",f,5,1,"udhr-en"
2983.4073040789017,"s007",f,5,1,"udhr-en"
5448.816944519283,"s007",f,5,1,"udhr-en"
5622.520057747274,"s007",f,5,1,"udhr-en"
739.8193555013335,"s007",f,5,1,"udhr-en"
5863.959415304138,"s007",f,5,1,"udhr-en"
2413.740710413352,"s007",f,5,1,"udhr-en"
5125.241284615854,"s007",f,5,1,"udhr-en"
5846.62549433368,"s007",f,5,1,"udhr-en"
5174.310247270215,"s007",f,5,1,"udhr-en"
4806.794030636169,"s007",f,5,1,"udhr-en"
3800.5055223124436,"s007",f,5,1,"udhr-en"
5733.563993097138,"s007",f,5,1,"udhr-en"
4613.857729501559,"s007",f,5,1,"udhr-en"
5228.258868227261,"s007",f,5,1,"udhr-en"
5505.433176698505,"s007",f,5,1,"udhr-en"
6167.598893361593,"s007",f,5,1,"udhr-en"
6070.746770928072,"s007",f,5,1,"udhr-en"
4312.795234800154,"s007",f,5,1,"udhr-en"
3282.9892271463186,"s007",f,5,1,"udhr-en"
4424.977983198873,"s007",f,5,1,"udhr-en"
5080.6670818329185,"s007",f,5,1,"udhr-en"
5289.272095502016,"s007",f,5,1,"udhr-en"
5545.450705660007,"s007",f,5,1,"udhr-l1"
3919.1220607850873,"s007",f,5,1,"udhr-l1"
3995.6588375407164,"s007",f,5,1,"udhr-l1"
5227.8672904802925,"s007",f,5,1,"udhr-l1"
3875.941068921226,"s007",f,5,1,"udhr-l1"
5589.560146833533,"s007",f,5,1,"udhr-l1"
5200.768389750338,"s007",f,5,1,"udhr-l1"
4998.545672767601,"s007",f,5,1,"udhr-l1"
2853.096620464134,"s007",f,5,1,"udhr-l1"
5094.535588113619,"s007",f,5,1,"udhr-l1"
5536.105880174213,"s007",f,5,1,"udhr-l1"
5722.270294952489,"s007",f,5,1,"udhr-l1"
4087.8869612325657,"s007",f,5,1,"udhr-l1"
3647.942679701107,"s007",f,5,1,"udhr-l1"
4137.8831390162195,"s007",f,5,1,"udhr-l1"
4206.967532284114,"s007",f,5,1,"udhr-l1"
3297.1872202019813,"s007",f,5,1,"udhr-l1"
2784.528806820337,"s007",f,5,1,"udhr-l1"
3787.547445153743,"s007",f,5,1,"udhr-l1"
1008.2766723480737,"s007",f,5,1,"udhr-l1"
3246.139939401734,"s007",f,5,1,"udhr-l1"
3779.661484489681,"s007",f,5,1,"udhr-l1"
892.90924841102,"s007",f,5,1,"udhr-l1"
4174.048801483628,"s007",f,5,1,"udhr-l1"
5435.163135566668,"s007",f,5,1,"udhr-l1"
2489.3746112564268,"s007",f,5,1,"udhr-l1"
4204.057097985714,"s007",f,5,1,"udhr-l1"
2925.951968063805,"s007",f,5,1,"udhr-l1"
4044.1551076110136,"s007",f,5,1,"udhr-l1"
735.5819628550545,"s007",f,5,1,"udhr-l1"
4090.5501289907043,"s007",f,5,1,"udhr-l1"
2652.4461908204057,"s007",f,5,1,"udhr-l1"
834.1592482122685,"s007",f,5,1,"udhr-l1"
5655.617861391681,"s007",f,5,1,"udhr-l1"
2674.614304496198,"s007",f,5,1,"udhr-l1"
3436.5544144786977,"s007",f,5,1,"udhr-l1"
3878.3389855863234,"s007",f,5,1,"udhr-l1"
5285.172441451119,"s007",f,5,1,"udhr-l1"
4494.19502265622,"s007",f,5,1,"udhr-l1"
5461.77499884871,"s007",f,5,1,"udhr-l1"
4333.098574484355,"s007",f,5,1,"udhr-l1"
5367.670592472106,"s007",f,5,1,"udhr-l1"
5752.669068771848,"s008",f,1,1,"informal"
6550.536714279133,"s008",f,1,1,"informal"
352.258129148077,"s008",f,1,1,"informal"
6302.778601813928,"s008",f,1,1,"informal"
1035.1872532977675,"s008",f,1,1,"informal"
